"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 17:24:47 GMT 2024","Thu Feb 08 17:24:50 GMT 2024","2245","test.e2e","Sanity test","TestSanity","","","Navigation backwards and forward","Assert that navigating backwards and forward is working properly"
"passed","Thu Feb 08 17:24:50 GMT 2024","Thu Feb 08 17:24:50 GMT 2024","0","test.e2e","test_smoke","TestSmoke","","","test_mainpage_loads",""
"passed","Thu Feb 08 17:24:50 GMT 2024","Thu Feb 08 17:24:52 GMT 2024","2107","test.e2e","Smoke test","TestSmoke","","","Login page loads succesfully","Assert that the login page loads in"
"passed","Thu Feb 08 17:24:54 GMT 2024","Thu Feb 08 17:24:56 GMT 2024","1810","test.e2e","Smoke test","TestSmoke","","","Connecting to database","Assert that the database can be connected to"
"passed","Thu Feb 08 17:24:43 GMT 2024","Thu Feb 08 17:24:45 GMT 2024","2332","test.e2e","Sanity test","TestSanity","","","Registration page - visibility of webelements","Assert that all neccessary webelements are visible and interactable on the registration page"
"passed","Thu Feb 08 17:24:34 GMT 2024","Thu Feb 08 17:24:42 GMT 2024","8276","test.e2e","Sanity test","TestSanity","","","Login page - visibility of webelements","Assert that all neccessary webelements are visible and interactable on the login page"
"passed","Thu Feb 08 17:24:45 GMT 2024","Thu Feb 08 17:24:47 GMT 2024","2487","test.e2e","Sanity test","TestSanity","","","Refresh webpage","Assert that refreshing the webpage works"
"passed","Thu Feb 08 17:24:34 GMT 2024","Thu Feb 08 17:24:34 GMT 2024","0","test.e2e","test_sanity","TestSanity","","","test_mainpage",""
"passed","Thu Feb 08 17:24:52 GMT 2024","Thu Feb 08 17:24:54 GMT 2024","2115","test.e2e","Smoke test","TestSmoke","","","Registration page loads succesfully","Assert that the registration page loads in"
